17:02:25 [DEBUG] disk_inspector: Starting up
17:02:25 [DEBUG] disk_inspector: Getting disk info
17:02:25 [DEBUG] disk_inspector: 1 disks found
17:02:29 [DEBUG] disk_inspector: Disk is starting with 0 children
17:02:29 [DEBUG] disk_inspector: Reading all files
17:04:56 [DEBUG] disk_inspector: Counter above 100
17:04:56 [DEBUG] disk_inspector: Disk read reported complete
17:05:03 [DEBUG] disk_inspector::app: Disk read done
17:05:03 [DEBUG] disk_inspector::app: Disk read complete
17:05:03 [DEBUG] disk_inspector: Disk read thread complete
17:05:03 [DEBUG] disk_inspector: Disk is finishing with 30 children
17:05:03 [DEBUG] cursive::backend::curses::n: Unknown event: 00000000000000000000000000000100
17:05:03 [DEBUG] cursive::backend::curses::n: No event parsed?...
17:05:05 [DEBUG] disk_inspector: Beginning nav
17:05:05 [DEBUG] disk_inspector::inspector: Navigating /, with 30 children and 0 parents
17:05:51 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:51 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:51 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:51 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:51 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:51 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:51 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:51 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:52 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:53 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:54 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:55 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:56 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:57 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:57 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:57 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:57 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:57 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:57 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:57 [DEBUG] disk_inspector::view: In lambda, selected /Users/ray/Downloads
17:06:00 [DEBUG] disk_inspector::inspector: Selected /Users/ray/Downloads
17:06:00 [DEBUG] disk_inspector::inspector: Cloning dir and children
17:06:02 [DEBUG] disk_inspector::inspector: Pre push
17:06:03 [DEBUG] disk_inspector::inspector: Post push
17:06:03 [DEBUG] disk_inspector::inspector: Navigating /Users/ray/Downloads, with 10 children and 3 parents
17:06:05 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:06:05 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:05 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:05 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 11 }
17:06:05 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:05 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:06 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:06:06 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:06 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:06 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 11 }
17:06:06 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:06 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:06 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:06:06 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:06 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:06 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 11 }
17:06:06 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:06 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:07 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:06:07 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:07 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:07 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 11 }
17:06:07 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:07 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:08 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:06:08 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:08 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:08 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 11 }
17:06:08 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:08 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:06:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 11 }
17:06:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:06:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 11 }
17:06:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
17:06:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:06:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 11 }]
17:06:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 11 }
